gene	OT2_ID	pident	eval	OT2_description
jg17088	XP_022917569.1	99.588	0	proteasome activator complex subunit 3 isoform X2
jg17089	XP_022917565.1	100	0	interferon-inducible double-stranded RNA-dependent protein kinase activator A homolog B isoform X1
jg1709	XP_022913510.1	99.654	0	maltase 1-like
jg17090	XP_022917576.1	100	0	probable ATP-dependent RNA helicase DDX43
jg17091	XP_022917688.1	100	0	guanylate cyclase 32E
jg17093	XP_022917682.1	100	0	receptor-type guanylate cyclase Gyc76C-like
jg17094	XP_022917684.1	100	0	GATOR complex protein WDR24 isoform X2
jg17095	XP_022917649.1	100	0	somatostatin receptor type 2-like isoform X1
jg17096	XP_022917675.1	100	0	uncharacterized protein LOC111426974
jg17097	XP_022917741.1	99.66	0	inactive pancreatic lipase-related protein 1-like
jg17098	XP_022917742.1	99.667	0	pancreatic triacylglycerol lipase-like
jg171	XP_022911057.1	98.71	4.55e-111	KS1 protein-like
jg1710	XP_022913526.1	98.78	2.34e-116	uncharacterized protein LOC111424268
jg17101	XP_022917641.1	100	5.4e-148	ras-related protein Ral-a
jg17102	XP_022917672.1	99.879	0	GATOR complex protein MIOS-A isoform X1
jg17103	XP_022917674.1	100	1.52e-147	ras-related protein M-Ras-like
jg17104	XP_022917676.1	99.869	0	uncharacterized protein LOC111426975
jg17105	XP_022917740.1	91.213	4.34e-157	snake venom serine protease HS112-like
jg17106	XP_022917671.1	100	0	calcitonin gene-related peptide type 1 receptor isoform X4
jg17106.t2	XP_022917670.1	100	0	calcitonin gene-related peptide type 1 receptor isoform X3
jg17106.t3	XP_022917669.1	100	0	calcitonin gene-related peptide type 1 receptor isoform X2
jg17107	XP_022917577.1	100	0	TBC1 domain family member 9B
jg17107.t2	XP_022917577.1	99.824	0	TBC1 domain family member 9B
jg17108	XP_022917578.1	100	7.68e-77	uncharacterized protein LOC111426921
jg17109	XP_022917746.1	98.507	0	zinc finger protein 62
jg1711	XP_022913403.1	97.516	8.74e-116	uncharacterized protein LOC111424189
jg17110	XP_022917743.1	99.917	0	protein tiptop isoform X1
jg17110.t2	XP_022917744.1	99.915	0	protein tiptop isoform X2
jg17115	XP_022917734.1	97.977	0	zinc finger protein 236-like
jg17116	XP_022917736.1	100	5.54e-88	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
jg17117	XP_022917735.1	99.352	0	venom serine carboxypeptidase
jg17118	XP_022917605.1	100	5.22e-53	cAMP-specific 3',5'-cyclic phosphodiesterase isoform X5
jg17119	XP_022917615.1	99.153	4.13e-84	pupal cuticle protein-like
jg1712	XP_022913258.1	99.408	2.94e-124	uncharacterized protein LOC111424077
jg1712.t2	XP_022913258.1	97.661	4.37e-121	uncharacterized protein LOC111424077
jg17121	XP_022908446.1	45.736	7.94e-76	tubulin polyglutamylase complex subunit 2
jg17122	XP_022917600.1	99.621	0	cAMP-specific 3',5'-cyclic phosphodiesterase isoform X1
jg17123	XP_022917601.1	100	0	cAMP-specific 3',5'-cyclic phosphodiesterase isoform X2
jg17124	XP_022917611.1	99.804	0	cAMP-specific 3',5'-cyclic phosphodiesterase isoform X10
jg17125	XP_022917612.1	99.835	0	leucine-rich repeat-containing protein 40-like
jg17126	XP_022917614.1	100	0	E3 ubiquitin-protein ligase MARCH2-like
jg17127	XP_022917613.1	100	0	sin3 histone deacetylase corepressor complex component SDS3
jg17128	XP_022917599.1	100	0	SH3 domain-binding protein 5 homolog
jg17129	XP_022917597.1	99.933	0	integrin alpha-PS2 isoform X1
jg1713	XP_022913257.1	98.286	2.97e-123	uncharacterized protein LOC111424076
jg17130	XP_022917596.1	99.099	0	serine-protein kinase ATM
jg17131	XP_022917685.1	99.245	0	otopetrin-2-like, partial
jg17132	XP_022917692.1	94.118	6.27e-62	farnesol dehydrogenase-like
jg17133	XP_022917580.1	99.113	0	kynurenine--oxoglutarate transaminase 3 isoform X1
jg17134	XP_022917583.1	100	0	46 kDa FK506-binding nuclear protein
jg17135	XP_022917752.1	99.863	0	RING finger protein 10
jg17136	XP_022917754.1	100	4.13e-99	fatty acid-binding protein-like
jg17137	XP_022917753.1	99.333	1.01e-111	UPF0545 protein C22orf39 homolog
jg17138	XP_022917738.1	99.544	0	titin-like isoform X2
jg17138.t2	XP_022917737.1	99.546	0	titin-like isoform X1
jg17138.t3	XP_022917738.1	100	0	titin-like isoform X2
jg17138.t4	XP_022917737.1	100	0	titin-like isoform X1
jg17139	XP_022902228.1	73.81	3.15e-138	proteasome subunit beta type-7
jg1714	XP_022913257.1	90.857	2.86e-109	uncharacterized protein LOC111424076
jg17140	XP_022917689.1	100	0	cytochrome b5 domain-containing protein 1
jg17141	XP_022909379.1	80	3.68e-58	esterase B1-like
jg17142	XP_022911162.1	46.099	8.8e-37	protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1-like
jg17143	XP_022917587.1	100	0	TNF receptor-associated factor 4 isoform X1
jg17144	XP_022917666.1	99.655	0	pescadillo homolog
jg17145	XP_022917712.1	100	0	protein pelota
jg17146	XP_022917702.1	99.574	0	CAP-Gly domain-containing linker protein 2 isoform X2
jg17146.t2	XP_022917702.1	99.651	0	CAP-Gly domain-containing linker protein 2 isoform X2
jg17147	XP_022917713.1	100	4.62e-84	DNA-directed RNA polymerase II subunit RPB11
jg17148	XP_022917595.1	100	0	mitogen-activated protein kinase ERK-A
jg17149	XP_022917658.1	99.877	0	thioredoxin domain-containing protein 11
jg1715	XP_022913523.1	97.041	9e-115	uncharacterized protein LOC111424263
jg17150	XP_022917662.1	100	0	AN1-type zinc finger protein 4-like
jg17151	XP_022917691.1	83.659	0	odorant receptor 83a-like
jg17152	XP_022917691.1	99.662	0	odorant receptor 83a-like
jg17153	XP_022917656.1	98.326	0	probable chitinase 10 isoform X3
jg17154	XP_022917661.1	99.739	0	SID1 transmembrane family member 1-like
jg17155	XP_022917730.1	99.048	2.64e-73	uncharacterized protein LOC111427013
jg17156	XP_022917729.1	100	0	cytochrome P450 4d2-like
jg17157	XP_022917638.1	99.475	0	uncharacterized protein LOC111426952
jg17158	XP_022917637.1	98.522	0	uncharacterized protein LOC111426951
jg17159	XP_022917639.1	99.091	2.14e-74	uncharacterized protein LOC111426953
jg1716	XP_022913281.1	99.387	2.07e-117	uncharacterized protein LOC111424090
jg17160	XP_022917617.1	100	0	erythroid differentiation-related factor 1
jg17162	XP_022917749.1	95.858	2.09e-121	uncharacterized protein LOC111427033
jg17164	XP_022917732.1	100	1.41e-65	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog
jg17165	XP_022917732.1	100	1.12e-65	lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog
jg17166	XP_022917731.1	99.604	0	vacuolar protein sorting-associated protein 13-like
jg17167	XP_022907872.1	99.682	0	vacuolar protein sorting-associated protein 13-like
jg17168	XP_022907818.1	99.908	0	vacuolar protein sorting-associated protein 13-like isoform X1
jg17169	XP_022907771.1	99.833	0	T-cell immunomodulatory protein
jg1717	XP_022913402.1	97.581	7.3e-87	uncharacterized protein LOC111424188
jg17170	XP_022907927.1	100	2.03e-69	uncharacterized protein LOC111419365
jg17171	XP_022907570.1	99.006	0	calmodulin-binding transcription activator 2 isoform X5
jg17171.t2	XP_022907570.1	99.625	0	calmodulin-binding transcription activator 2 isoform X5
jg17171.t3	XP_022907570.1	99.378	0	calmodulin-binding transcription activator 2 isoform X5
jg17172	XP_022907988.1	99.383	0	protein scarlet-like
jg17173	XP_022907669.1	99.215	0	protein white
jg17174	XP_022907621.1	99.807	0	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
jg17175	XP_022907633.1	99.888	0	serine/threonine-protein kinase prp4
jg17176	XP_022907645.1	100	0	inositol monophosphatase 1-like
jg17177	XP_022907685.1	100	0	acetyl-coenzyme A synthetase
jg17178	XP_022907746.1	100	5.19e-122	glycine cleavage system H protein, mitochondrial
jg1718	XP_022913307.1	97.849	1.14e-126	uncharacterized protein LOC111424112
jg17180	XP_022907734.1	99.239	0	gamma-aminobutyric acid receptor subunit beta isoform X7
jg17180.t2	XP_022907734.1	94.718	0	gamma-aminobutyric acid receptor subunit beta isoform X7
jg17181	XP_022907707.1	82.192	1.28e-23	gamma-aminobutyric acid receptor subunit beta isoform X3
jg17182	XP_022907676.1	100	0	glutamate receptor 1
jg17183	XP_022907851.1	100	3.44e-158	ras-related and estrogen-regulated growth inhibitor isoform X1
jg17184	XP_022907841.1	100	6.57e-176	peroxiredoxin-2-like
jg17185	XP_022907944.1	99.954	0	calcineurin-binding protein cabin-1-like
jg17186	XP_022907956.1	98.851	1.15e-60	proteasome assembly chaperone 2-like
jg17187	XP_022907956.1	100	1.57e-178	proteasome assembly chaperone 2-like
jg17188	XP_022907978.1	99.359	0	uncharacterized protein LOC111419410
jg17189	XP_022907884.1	99.921	0	dynactin subunit 1 isoform X1
jg1719	XP_022913306.1	100	4.72e-149	CLK4-associating serine/arginine rich protein
jg17190	XP_022920269.1	99.208	0	monoacylglycerol lipase ABHD12-like
jg17191	XP_022907788.1	99.732	0	monoacylglycerol lipase ABHD12-like isoform X1
jg17193	XP_022920285.1	100	4.99e-121	uncharacterized protein LOC111428816
jg17194	XP_022920273.1	99.486	0	probable glutamine--tRNA ligase
jg17195	XP_022920267.1	100	0	cytochrome b-c1 complex subunit Rieske, mitochondrial
jg17196	XP_022920266.1	100	0	GPN-loop GTPase 2
jg17197	XP_022920258.1	99.254	5.82e-94	uncharacterized protein LOC111428798
jg17198	XP_022920275.1	100	5.72e-110	tctex1 domain-containing protein 2-like
jg17199	XP_022920213.1	99.324	0	uncharacterized protein LOC111428766 isoform X8
jg172	XP_022911055.1	100	0	uncharacterized protein LOC111422082
jg1720	XP_022913306.1	100	0	CLK4-associating serine/arginine rich protein
jg17201	XP_022920251.1	99.664	0	glucose dehydrogenase [FAD, quinone]-like, partial
jg17202	XP_022920202.1	99.586	0	serine/threonine-protein phosphatase 4 regulatory subunit 4-like isoform X2
jg17203	XP_022920226.1	99.617	0	haloacid dehalogenase-like hydrolase domain-containing protein 2
jg17204	XP_022920204.1	99.703	0	cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1
jg17205	XP_022920221.1	99.339	0	glucose dehydrogenase [FAD, quinone]-like
jg17206	XP_022920224.1	99.615	0	succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial-like
jg17207	XP_022920225.1	100	0	E3 ubiquitin-protein ligase MARCH5
jg17208	XP_022920222.1	99.733	0	zinc finger protein OZF-like
jg17209	XP_022920200.1	100	0	cyclin-dependent kinase 12
jg1721	XP_022913292.1	98.913	1.14e-56	4-coumarate--CoA ligase-like
jg17210	XP_022920271.1	100	0	AH receptor-interacting protein
jg17211	XP_022906883.1	100	6.5e-130	piggyBac transposable element-derived protein 3-like
jg17212	XP_022920241.1	100	0	endoplasmic reticulum-Golgi intermediate compartment protein 2
jg17213	XP_022920250.1	100	9.51e-76	uncharacterized protein LOC111428791
jg17214	XP_022920240.1	100	0	uncharacterized protein LOC111428781 isoform X2
jg17217	XP_022920249.1	100	0	uncharacterized protein LOC111428790
jg17218	XP_022920281.1	100	0	4-hydroxyphenylpyruvate dioxygenase-like
jg17219	XP_022920227.1	100	0	4-hydroxyphenylpyruvate dioxygenase-like
jg1722	XP_022913293.1	99.626	0	serine/threonine-protein phosphatase 4 regulatory subunit 2-like
jg17220	XP_022920287.1	99.779	0	enolase-like
jg17221	XP_022920270.1	100	8.7e-100	dr1-associated corepressor homolog
jg17222	XP_022920232.1	100	0	formin-like protein CG32138
jg17224	XP_022920233.1	98.551	9.9e-58	glycine-rich cell wall structural protein 1-like
jg17227	XP_022920232.1	99.824	0	formin-like protein CG32138
jg17228	XP_022920279.1	99.787	0	hemicentin-1-like isoform X2
jg17229	XP_022920277.1	99.978	0	dynein heavy chain 8, axonemal
jg1723	XP_022913292.1	99.796	0	4-coumarate--CoA ligase-like
jg17230	XP_022920248.1	99.398	0	phospholipase A1 member A-like
jg17231	XP_022920295.1	100	0	ras-related protein Rap-2a
jg17232	XP_022920293.1	100	1.12e-178	uncharacterized protein LOC111428821
jg17233	XP_022920290.1	99.834	0	zinc finger protein on ecdysone puffs
jg17234	XP_022920292.1	100	1.24e-94	endothelial differentiation-related factor 1 isoform X2
jg17235	XP_022920259.1	100	2.31e-179	proteasome subunit beta type-1
jg17236	XP_022920276.1	100	1.42e-141	protein FAM207A-like
jg17237	XP_022920246.1	97.179	0	uncharacterized protein LOC111428787
jg17238	XP_022920294.1	100	8.99e-142	2-iminobutanoate/2-iminopropanoate deaminase-like
jg17239	XP_022920245.1	96.277	0	uncharacterized protein LOC111428786
jg1724	XP_022913291.1	100	0	ATP-binding cassette sub-family B member 10, mitochondrial
jg17240	XP_022920268.1	99.742	0	prostaglandin E synthase 2
jg17241	XP_022920244.1	97.645	0	valine--tRNA ligase
jg17241.t2	XP_022920244.1	99.519	2.68e-144	valine--tRNA ligase
jg17241.t3	XP_022920244.1	80.205	0	valine--tRNA ligase
jg17242	XP_022920297.1	99.372	0	angiopoietin-related protein 7-like
jg17245	XP_022920286.1	100	0	WNT1-inducible-signaling pathway protein 1
jg17247	XP_022906542.1	29.138	7.79e-41	uncharacterized protein LOC111418272
jg17248	XP_022911171.1	46.491	2.35e-32	uncharacterized protein LOC111422199
jg17248.t2	XP_022920274.1	94.882	4.87e-169	uncharacterized protein LOC111428809
jg17248.t3	XP_022920274.1	95.033	0	uncharacterized protein LOC111428809
jg17249	XP_022920274.1	99.694	0	uncharacterized protein LOC111428809
jg1725	XP_022913348.1	100	0	probable 4-coumarate--CoA ligase 3
jg17250	XP_022920242.1	99.845	0	lipase maturation factor 2-like
jg17251	XP_022920228.1	100	0	regulator of nonsense transcripts 2
jg17252	XP_022920230.1	100	1.34e-151	methylosome subunit pICln-like isoform X2
jg17253	XP_022920260.1	100	8.9e-103	mitochondrial import receptor subunit TOM22 homolog isoform X1
jg17254	XP_022920263.1	99.529	0	probable RNA methyltransferase Y17G7B.18 isoform X2
jg17255	XP_022901464.1	99.598	0	elongation of very long chain fatty acids protein 7-like
jg17256	XP_022901356.1	95.874	0	uncharacterized protein LOC111414280 isoform X1
jg17257	XP_022901218.1	100	0	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 isoform X2
jg17257.t2	XP_022901236.1	100	0	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 isoform X4
jg17258	XP_022901250.1	100	6.46e-122	coiled-coil domain-containing protein 115-like
jg17259	XP_022901218.1	98.63	6.31e-45	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 isoform X2
jg1726	XP_022913398.1	98.026	0	uncharacterized protein LOC111424186
jg17260	XP_022901454.1	98.834	0	GDP-fucose protein O-fucosyltransferase 2
jg17261	XP_022901402.1	99.92	0	vigilin
jg17262	XP_022901442.1	100	0	succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like
jg17263	XP_022901525.1	99.65	0	succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like
jg17264	XP_022901494.1	88.092	0	uncharacterized protein LOC111414383 isoform X3
jg17265	XP_022901475.1	88.406	4.84e-74	uncharacterized protein LOC111414383 isoform X1
jg17266	XP_022901494.1	96.676	0	uncharacterized protein LOC111414383 isoform X3
jg17267	XP_022901514.1	100	0	tubulin beta chain-like isoform X2
jg17269	XP_022901344.1	99.634	0	uncharacterized protein LOC111414271
jg1727	XP_022913349.1	98.957	0	4-coumarate--CoA ligase 2-like
jg17270	XP_022901157.1	99.189	0	ribonuclease 3-like
jg17271	XP_022901421.1	100	0	glutamate [NMDA] receptor subunit 1
jg17272	XP_022901537.1	98.661	0	sterol O-acyltransferase 1-like
jg17273	XP_022901410.1	100	0	sterol O-acyltransferase 1-like
jg17274	XP_022901432.1	98.329	0	sterol O-acyltransferase 1-like
jg17275	XP_022901307.1	97.748	0	sterol O-acyltransferase 1-like
jg17276	XP_022901295.1	99.537	0	putative mediator of RNA polymerase II transcription subunit 26
jg17279	XP_022901391.1	100	0	5-hydroxytryptamine receptor-like
jg1728	XP_022913352.1	98.94	0	embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein
jg17280	XP_022901188.1	99.897	0	huntingtin-interacting protein 1 isoform X2
jg17281	XP_022901263.1	100	0	calmodulin-lysine N-methyltransferase-like isoform X1
jg17282	XP_022901283.1	100	0	transcription factor E2F4-like
jg17283	XP_022901319.1	100	0	gametogenetin-binding protein 2-like
jg17284	XP_022901332.1	99.764	0	3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial
jg17285	XP_022901371.1	99.919	0	protein cappuccino-like isoform X1
jg17286	XP_022900254.1	99.92	0	Down syndrome cell adhesion molecule homolog isoform X1
jg17288	XP_022900237.1	98.45	8.52e-91	uncharacterized protein LOC111413476
jg1729	XP_022913350.1	99.477	0	4-coumarate--CoA ligase-like 7
jg17290	XP_022900261.1	99.043	0	venom carboxylesterase-6-like
jg17292	XP_022900257.1	100	0	mitoferrin-1
jg17293	XP_022900271.1	99.498	0	uncharacterized protein LOC111413501
jg17294	XP_022900272.1	99.468	4.43e-140	apolipoprotein D-like
jg17295	XP_022900270.1	99.793	0	insulin-like growth factor-binding protein complex acid labile subunit
jg17296	XP_022900250.1	100	0	sphingosine-1-phosphate phosphatase 1-like
jg17298	XP_022900251.1	100	0	PIH1 domain-containing protein 1
jg17299	XP_022900247.1	99.869	0	multidrug resistance-associated protein 1 isoform X4
jg17299.t2	XP_022900244.1	99.869	0	multidrug resistance-associated protein 1 isoform X1
jg17299.t3	XP_022900244.1	95.757	0	multidrug resistance-associated protein 1 isoform X1
jg17299.t4	XP_022900248.1	99.408	0	multidrug resistance-associated protein 1 isoform X5
jg1730	XP_022913351.1	100	0	rod outer segment membrane protein 1-like
jg17300	XP_022900243.1	99.713	0	superkiller viralicidic activity 2-like 2
jg17301	XP_022900258.1	77.863	4.86e-148	laccase
jg17302	XP_022900258.1	99.862	0	laccase
jg17304	XP_022900266.1	99.296	1.33e-95	troponin C, isotype alpha-like isoform X2
jg17305	XP_022900265.1	100	1.66e-106	troponin C-like isoform X1
jg17306	XP_022900267.1	100	2.35e-103	troponin C
jg17307	XP_022900268.1	99.176	0	leucine-rich repeat-containing protein 15-like isoform X1
jg17308	XP_022900268.1	32.065	5.86e-31	leucine-rich repeat-containing protein 15-like isoform X1
jg17309	XP_022900238.1	99.846	0	DNA (cytosine-5)-methyltransferase PliMCI-like
jg1731	XP_022913347.1	99.671	0	zinc transporter 9
jg17310	XP_022900240.1	100	0	odorant receptor 49b-like isoform X1
jg17311	XP_022900242.1	98.423	0	odorant receptor 63a-like
jg17312	XP_022900242.1	52.655	1.38e-77	odorant receptor 63a-like
jg17313	XP_022900264.1	99.394	4.17e-116	cuticle protein 19-like
jg17314	XP_022914848.1	97.5	2.42e-107	general transcription factor II-I repeat domain-containing protein 2-like isoform X1
jg17315	XP_022914858.1	90.706	5.89e-170	general transcription factor II-I repeat domain-containing protein 2-like isoform X2
jg17316	XP_022900256.1	98.239	0	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3
jg17318	XP_022915079.1	100	0	vacuolar protein sorting-associated protein 13D isoform X1
jg17319	XP_022915100.1	100	0	integrator complex subunit 12-like
jg1732	XP_022913344.1	99.471	0	uncharacterized protein LOC111424143 isoform X1
jg1732.t2	XP_022913345.1	99.469	0	uncharacterized protein LOC111424143 isoform X2
jg17320	XP_022915088.1	99.906	0	vacuolar protein sorting-associated protein 13D isoform X2
jg17321	XP_022914673.1	100	1.62e-116	pancreatic lipase-related protein 2-like
jg17322	XP_022915057.1	99.385	0	retinol dehydrogenase 14-like
jg17323	XP_022915057.1	45.965	6.13e-88	retinol dehydrogenase 14-like
jg17324	XP_022914431.1	100	8.4e-92	retinol dehydrogenase 14-like
jg17325	XP_022914515.1	98.01	9.17e-143	dehydrogenase/reductase SDR family member 13-like isoform X1
jg17326	XP_022914506.1	99.485	0	von Willebrand factor-like
jg17327	XP_022914475.1	99.771	0	IgGFc-binding protein-like
jg17328	XP_022914475.1	99.662	0	IgGFc-binding protein-like
jg17329	XP_022914542.1	99.385	0	retinol dehydrogenase 14-like
jg1733	XP_022913472.1	98.995	0	uncharacterized protein LOC111424225
jg17330	XP_022914552.1	100	3.96e-171	retinol dehydrogenase 14-like
jg17331	XP_022914907.1	100	0	retinol dehydrogenase 11-like
jg17332	XP_022915032.1	99.381	0	retinol dehydrogenase 12-like
jg17333	XP_022914729.1	99.689	0	retinol dehydrogenase 12-like
jg17334	XP_022914360.1	96.389	0	E3 ubiquitin-protein ligase TRIM37-like isoform X1
jg17335	XP_022914995.1	100	0	tektin-1
jg17336	XP_022915007.1	97.853	0	retinol dehydrogenase 14-like
jg17337	XP_022904788.1	44.892	4.98e-91	uncharacterized protein LOC111416879
jg17338	XP_022915046.1	100	0	E3 ubiquitin-protein ligase TRIM37-like
jg17339	XP_022914455.1	99.486	0	neprilysin-1-like
jg1734	XP_022913474.1	97.015	6.12e-96	uncharacterized protein LOC111424227
jg17340	XP_022914587.1	100	0	exportin-1
jg17341	XP_022914617.1	100	0	uncharacterized protein LOC111425080
jg17342	XP_022914662.1	100	1.23e-128	transmembrane protein 17-like
jg17343	XP_022914625.1	100	2.22e-163	glycolipid transfer protein A isoform X1
jg17344	XP_022914608.1	99.8	0	cytochrome P450 306a1-like isoform X2
jg17345	XP_022914920.1	100	0	cytochrome P450 18a1-like
jg17346	XP_022901015.1	100	5.69e-58	uncharacterized protein LOC111414066
jg17347	XP_022902516.1	98.889	0	uncharacterized protein LOC111415194
jg17348	XP_022902515.1	99.206	0	hydrolethalus syndrome protein 1 homolog
jg17349	XP_022902513.1	99.421	0	serine/threonine-protein kinase fused
jg1735	XP_022913471.1	99.499	0	uncharacterized protein LOC111424224
jg17351	XP_022902486.1	100	0	NF-kappa-B inhibitor cactus isoform X1
jg17352	XP_022902488.1	100	7.94e-150	DNA replication complex GINS protein PSF1-like
jg17353	XP_022902494.1	99.27	0	39S ribosomal protein L4, mitochondrial
jg17354	XP_022902492.1	100	0	stress-induced-phosphoprotein 1
jg17355	XP_022902499.1	100	0	protein mothers against dpp isoform X2
jg17356	XP_022902481.1	99.623	0	27 kDa glycoprotein-like
jg17358	XP_022902480.1	99.826	0	uncharacterized protein LOC111415166 isoform X3
jg17358.t2	XP_022902480.1	88.506	9.6e-35	uncharacterized protein LOC111415166 isoform X3
jg17358.t3	XP_022902478.1	99.856	0	CAP-Gly domain-containing linker protein 1 isoform X2
jg17358.t4	XP_022902478.1	99.631	0	CAP-Gly domain-containing linker protein 1 isoform X2
jg1736	XP_022913471.1	77.073	2.07e-111	uncharacterized protein LOC111424224
jg17360	XP_022907407.1	97.248	9.58e-71	uncharacterized protein K02A2.6-like
jg17365	XP_022902512.1	100	2.45e-86	GATA-binding factor C-like isoform X2
jg17366	XP_022902511.1	97.667	0	GATA-binding factor C-like isoform X1
jg17367	XP_022902511.1	100	5.96e-48	GATA-binding factor C-like isoform X1
jg17368	XP_022902493.1	99.874	0	dnaJ homolog dnj-5
jg17369	XP_022902491.1	100	9.5e-90	DNA polymerase epsilon subunit 4
jg1737	XP_022913491.1	98.105	0	uncharacterized protein LOC111424240
jg17370	XP_022902490.1	99.621	0	uncharacterized protein LOC111415174 isoform X2
jg17370.t2	XP_022902489.1	99.622	0	uncharacterized protein LOC111415174 isoform X1
jg17371	XP_022902483.1	99.65	0	WD repeat-containing protein 91
jg17372	XP_022902482.1	99.802	0	nuclear hormone receptor HR96
jg17373	XP_022902509.1	83.756	0	protein PFC0760c-like
jg17374	XP_022902509.1	93.525	5.49e-79	protein PFC0760c-like
jg17376	XP_022902504.1	100	4.57e-79	complexin isoform X1
jg17379	XP_022902500.1	99.666	0	protein Skeletor, isoforms B/C
jg1738	XP_022913495.1	100	8.4e-103	uncharacterized protein LOC111424243
jg17380	XP_022902501.1	100	0	DDB1- and CUL4-associated factor 10 homolog
jg17381	XP_022900734.1	98.997	0	fibronectin type 3 and ankyrin repeat domains 1 protein-like
jg17382	XP_022900709.1	100	0	protein Skeletor, isoforms B/C
jg17383	XP_022900729.1	98.78	0	uncharacterized protein LOC111413842
jg17384	XP_022900732.1	100	0	estrogen sulfotransferase-like
jg17385	XP_022900718.1	100	0	protein fem-1 homolog CG6966 isoform X2
jg17386	XP_022900713.1	100	0	constitutive coactivator of PPAR-gamma-like protein 1 homolog isoform X2
jg17387	XP_022900714.1	100	0	putative cystathionine gamma-lyase 2 isoform X1
jg17388	XP_022900726.1	99.531	0	histone H2A deubiquitinase MYSM1-like
jg17389	XP_022900741.1	100	0	protein glass-like isoform X2
jg1739	XP_022913493.1	100	0	polypeptide N-acetylgalactosaminyltransferase 2
jg17390	XP_022900739.1	100	0	facilitated trehalose transporter Tret1-like
jg17391	XP_022900708.1	100	0	facilitated trehalose transporter Tret1-like
jg17392	XP_022900728.1	100	0	facilitated trehalose transporter Tret1-like
jg17393	XP_022913157.1	98.131	1.08e-72	uncharacterized protein LOC111424004
jg17395	XP_022900730.1	100	0	facilitated trehalose transporter Tret1-like
jg17396	XP_022904735.1	85.507	4.44e-31	glycosyltransferase-like protein gnt13
jg17397	XP_022900731.1	100	0	uncharacterized protein LOC111413844
jg17398	XP_022900719.1	98.913	9.42e-131	uncharacterized protein LOC111413837
jg17399	XP_022900710.1	99.464	0	uncharacterized protein LOC111413832
jg17399.t2	XP_022900710.1	99.892	0	uncharacterized protein LOC111413832
jg174	XP_022911054.1	98.802	1.83e-116	uncharacterized protein LOC111422081
jg17400	XP_022900736.1	100	0	zinc finger protein 117 isoform X1
jg17401	XP_022900722.1	99.678	0	tripartite motif-containing protein 3-like isoform X3
jg17402	XP_022903722.1	99.756	0	glucocorticoid-induced transcript 1 protein-like isoform X1
jg17403	XP_022903725.1	100	1.69e-96	60S ribosomal protein L27
jg17404	XP_022903736.1	100	0	cationic amino acid transporter 3-like
jg17405	XP_022903728.1	100	0	dedicator of cytokinesis protein 1 isoform X2
jg17405.t2	XP_022903727.1	100	0	dedicator of cytokinesis protein 1 isoform X1
jg17406	XP_022903717.1	100	0	facilitated trehalose transporter Tret1-like
jg17407	XP_022903719.1	100	0	C-terminal-binding protein isoform X2
jg17407.t2	XP_022903718.1	100	0	C-terminal-binding protein isoform X1
jg17408	XP_022906813.1	99.335	0	WD repeat and HMG-box DNA-binding protein 1
jg17409	XP_022906814.1	100	0	mitochondrial enolase superfamily member 1-like
jg17410	XP_022910276.1	100	1.1e-93	uncharacterized protein LOC111421364
jg17411	XP_022906812.1	100	0	uncharacterized protein LOC111418499
jg17412	XP_022906811.1	100	0	chromodomain-helicase-DNA-binding protein Mi-2 homolog
jg17413	XP_022906807.1	100	5.07e-178	uncharacterized protein LOC111418496
jg17414	XP_022906808.1	100	9.24e-158	uncharacterized protein LOC111418497 isoform X1
jg17415	XP_022906806.1	99.906	0	ubiquitin-protein ligase E3B
jg17416	XP_022916314.1	100	0	serine/threonine-protein kinase NLK isoform X2
jg17417	XP_022916162.1	100	0	sterile alpha and TIR motif-containing protein 1 isoform X2
jg1742	XP_022913372.1	98.872	0	bromodomain-containing protein DDB_G0280777-like isoform X1
jg17420	XP_022916062.1	99.958	0	titin isoform X6
jg17421	XP_022916134.1	99.862	0	titin isoform X15
jg17421.t2	XP_022916134.1	99.312	0	titin isoform X15
jg17422	XP_022916134.1	99.894	0	titin isoform X15
jg17423	XP_022916007.1	100	2.71e-100	cysteine-rich venom protein 6-like
jg17424	XP_022916227.1	100	2.15e-163	uncharacterized protein LOC111426101
jg17427	XP_022916214.1	99.532	0	titin homolog
jg17428	XP_022916270.1	96.014	3.66e-176	uncharacterized protein LOC111426115 isoform X3
jg1743	XP_022913375.1	100	1.06e-135	malignant T-cell-amplified sequence 1 homolog
